&#x1f602;,0.68554564802
&#x2764;,0.89219733553
&#x2665;,0.83931106672
&#x1f60d;,0.85942549645
&#x1f62d;,0.37717186804
&#x1f618;,0.87295936441
&#x1f60a;,0.84567822827
&#x1f44c;,0.81910529218
&#x1f495;,0.82871178485
&#x1f44f;,0.80008321762
&#x1f601;,0.77152163818
&#x263a;,0.85449788434
&#x2661;,0.85505448526
&#x1f44d;,0.80707002459
&#x1f629;,0.23032287824
&#x1f64f;,0.72199817004
&#x270c;,0.77156122698
&#x1f60f;,0.61447707194
&#x1f609;,0.76390185202
&#x1f64c;,0.82115377936
&#x1f648;,0.78008915991
&#x1f4aa;,0.80219809314
&#x1f604;,0.75948928205
&#x1f612;,0.22936371271
&#x1f483;,0.88632361758
&#x1f496;,0.87352233869
&#x1f603;,0.80335900761
&#x1f614;,0.34017059876
&#x1f631;,0.67068904476
&#x1f389;,0.88527392852
&#x1f61c;,0.76546704127
&#x262f;,0.50230488611
&#x1f338;,0.83774065494
&#x1f49c;,0.84280597646
&#x1f499;,0.87771550140
&#x2728;,0.60158524745
&#x1f633;,0.56049018515
&#x1f497;,0.84790183601
&#x2605;,0.57888163601
&#x2588;,0.52663292136
&#x2600;,0.71500276161
&#x1f621;,0.30602319726
&#x1f60e;,0.78421855587
&#x1f622;,0.54251837838
&#x1f48b;,0.85987454411
&#x1f60b;,0.83054150647
&#x1f64a;,0.78059223083
&#x1f634;,0.39072883500
&#x1f3b6;,0.80590930028
&#x1f49e;,0.88685236202
&#x1f60c;,0.79757593569
&#x1f525;,0.57269155728
&#x1f4af;,0.61991741950
&#x1f52b;,0.31070872313
&#x1f49b;,0.87186985291
&#x1f481;,0.72936597394
&#x1f49a;,0.86134289463
&#x266b;,0.58915225740
&#x1f61e;,0.34781610631
&#x1f606;,0.76188296527
&#x1f61d;,0.75792864808
&#x1f62a;,0.38756140565
&#xfffd;,0.57564927296
&#x1f62b;,0.33262616692
&#x1f605;,0.67502481967
&#x1f44a;,0.69816454653
&#x1f480;,0.31787504290
&#x1f600;,0.81757676237
&#x1f61a;,0.87565409621
&#x1f63b;,0.83683109640
&#xa9;,0.57011820377
&#x1f440;,0.59242057401
&#x1f498;,0.86050199375
&#x1f413;,0.54376785350
&#x2615;,0.60218121158
&#x1f44b;,0.76591916065
&#x270b;,0.64718270958
&#x1f38a;,0.88628616336
&#x1f355;,0.70332732232
&#x2744;,0.78916593420
&#x1f625;,0.63905754205
&#x1f615;,0.22157642431
&#x1f4a5;,0.55787054518
&#x1f494;,0.37342517035
&#x1f624;,0.31247333523
&#x1f608;,0.69539383307
&#x25ba;,0.57825998339
&#x2708;,0.61500353255
&#x1f51d;,0.76337947908
&#x1f630;,0.44623197976
&#x26bd;,0.82612535933
&#x1f611;,0.27524527257
&#x1f451;,0.86428174193
&#x1f639;,0.64751101654
&#x1f449;,0.61660885472
&#x1f343;,0.70994939867
&#x1f381;,0.89801978594
&#x1f620;,0.25480874812
&#x1f427;,0.71985222310
&#x2606;,0.61527792503
&#x1f340;,0.57775160770
&#x1f388;,0.86271304085
&#x1f385;,0.58705242673
&#x1f613;,0.38731931177
&#x1f623;,0.28802963061
&#x1f610;,0.24568572592
&#x270a;,0.76544337908
&#x1f628;,0.35558393441
&#x1f616;,0.32906945855
&#x1f4a4;,0.73206612743
&#x1f493;,0.85723066778
&#x1f44e;,0.31299281431
&#x1f4a6;,0.79129484633
&#x2714;,0.60420472638
&#x1f637;,0.32719899451
&#x26a1;,0.55633438115
&#x1f64b;,0.79371276360
&#x1f384;,0.78506961869
&#x1f4a9;,0.37816019739
&#x1f3b5;,0.78950993075
&#x27a1;,0.54013181406
&#x1f61b;,0.83550735834
&#x1f62c;,0.67516849032
&#x1f46f;,0.75918851730
&#x1f48e;,0.79676116238
&#x1f33f;,0.59827575998
&#x1f382;,0.84107064884
&#x1f31f;,0.59762075855
&#x1f52e;,0.57600534521
&#x2757;,0.57597779281
&#x1f46b;,0.69619425960
&#x1f3c6;,0.87667052911
&#x2716;,0.58998784640
&#x261d;,0.69038053997
&#x1f619;,0.89681859835
&#x26c4;,0.78516168659
&#x1f445;,0.77650678111
&#x266a;,0.79628944885
&#x1f342;,0.77499681816
&#x1f48f;,0.76238092537
&#x1f52a;,0.58750000000
&#x1f334;,0.78760867511
&#x1f448;,0.72881583752
&#x1f339;,0.79844220546
&#x1f646;,0.78152974976
&#x279c;,0.55505678886
&#x1f47b;,0.60819658035
&#x1f4b0;,0.60961438090
&#x1f37b;,0.79704503026
&#x1f645;,0.32408880081
&#x1f31e;,0.77355940854
&#x1f341;,0.73315700182
&#x2b50;,0.79554652764
&#x25aa;,0.57802924131
&#x1f380;,0.82824181254
&#x2501;,0.57147377141
&#x2637;,0.52128673296
&#x1f437;,0.61290316647
&#x1f649;,0.72609455986
&#x1f33a;,0.76501179219
&#x1f485;,0.76389664170
&#x1f436;,0.82209160188
&#x1f31a;,0.79616623288
&#x1f47d;,0.60491574000
&#x1f3a4;,0.78480552575
&#x1f46d;,0.78709754440
&#x1f3a7;,0.75180349481
&#x1f446;,0.68594068275
&#x1f378;,0.80434961393
&#x1f377;,0.61339890872
&#xae;,0.58928220707
&#x1f349;,0.83004876534
&#x1f607;,0.82060138802
&#x2611;,0.53123799770
&#x1f3c3;,0.72358164057
&#x1f63f;,0.23574503316
&#x2502;,0.58751749825
&#x1f4a3;,0.60943177098
&#x1f37a;,0.76188201065
&#x25b6;,0.56890255801
&#x1f632;,0.41919815906
&#x1f3b8;,0.74000143229
&#x1f379;,0.84677189909
&#x1f4ab;,0.74804724852
&#x1f4da;,0.73415366215
&#x1f636;,0.35926976160
&#x1f337;,0.74927181449
&#x1f49d;,0.85437330247
&#x1f4a8;,0.71815304261
&#x1f3c8;,0.78515686473
&#x1f48d;,0.79883231084
&#x2614;,0.70534650594
&#x1f478;,0.82506614711
&#x1f1ea;,0.81044121827
&#x2591;,0.57519848735
&#x1f369;,0.73977684938
&#x1f47e;,0.59511867587
&#x2601;,0.68692963248
&#x1f33b;,0.77746520052
&#x1f635;,0.60371354781
&#x1f4d2;,0.51225765067
&#x21bf;,0.81773682113
&#x1f42f;,0.73800879711
&#x1f47c;,0.72609455986
&#x1f354;,0.68264925404
&#x1f638;,0.74283482040
&#x1f476;,0.77012624363
&#x21be;,0.81773682113
&#x1f490;,0.88471775368
&#x1f30a;,0.78152974976
&#x1f366;,0.78535011390
&#x1f353;,0.84949526106
&#x1f447;,0.60440306509
&#x1f486;,0.69305747201
&#x1f374;,0.77931657667
&#x1f627;,0.42113143846
&#x1f1f8;,0.78974946074
&#x1f62e;,0.68528761426
&#x2593;,0.51340009328
&#x1f6ab;,0.25165510374
&#x1f63d;,0.84277498085
&#x1f308;,0.77540515609
&#x1f640;,0.71721518708
&#x26a0;,0.55568325601
&#x1f3ae;,0.74195699515
&#x256f;,0.57922436494
&#x1f346;,0.71162865472
&#x1f370;,0.78798220431
&#x2713;,0.60453139481
&#x1f450;,0.46810662294
&#x1f647;,0.64209042016
&#x1f35f;,0.70420746191
&#x1f34c;,0.76418506771
&#x1f491;,0.85930488446
&#x1f46c;,0.45810504207
&#x1f423;,0.80111750198
&#x1f383;,0.83165908702
&#x25ac;,0.61903780912
&#xfffc;,0.25368224282
&#x1f61f;,0.60389026663
&#x1f43e;,0.85101736068
&#x1f393;,0.82226076398
&#x1f3ca;,0.79312966414
&#x1f36b;,0.65319840077
&#x1f4f7;,0.74451520914
&#x1f444;,0.75645467436
&#x1f33c;,0.90006522906
&#x1f6b6;,0.61092931308
&#x1f431;,0.81711068651
&#x2551;,0.53963347701
&#x1f438;,0.60455202054
&#x1f1fa;,0.82081770525
&#x1f47f;,0.18147027219
&#x1f6ac;,0.81065847405
&#x273f;,0.60674326677
&#x1f4d6;,0.65591744611
&#x1f412;,0.75292526070
&#x1f30d;,0.82995103803
&#x250a;,0.98593698151
&#x1f425;,0.81947134066
&#x1f300;,0.57640435197
&#x1f43c;,0.58517371954
&#x1f3a5;,0.60991473968
&#x1f484;,0.74715076371
&#x1f4b8;,0.63605513588
&#x26d4;,0.77072633784
&#x25cf;,0.58400334815
&#x1f3c0;,0.68959957806
&#x1f489;,0.74298353854
&#x1f49f;,0.86644943376
&#x1f697;,0.59849016448
&#x1f62f;,0.60983168942
&#x1f4dd;,0.59849016448
&#x2550;,0.50860958768
&#x2666;,0.76371954801
&#x1f4ad;,0.60481710261
&#x1f319;,0.81879450670
&#x1f41f;,0.86431468197
&#x1f463;,0.69499166649
&#x261e;,0.53299337055
&#x2702;,0.22978214807
&#x1f5ff;,0.75024825174
&#x1f35d;,0.61703498409
&#x1f46a;,0.46286258625
&#x1f36d;,0.69781794029
&#x1f303;,0.61575512948
&#x274c;,0.72305212395
&#x1f430;,0.82774523261
&#x1f48a;,0.77504579164
&#x1f6a8;,0.87342326856
&#x1f626;,0.25222452200
&#x1f36a;,0.72340042525
&#x1f363;,0.32365534457
&#x256d;,0.56065527595
&#x2727;,0.58970263374
&#x1f386;,0.87828230199
&#x256e;,0.56498894137
&#x1f38e;,0.96269077147
&#x1f1e9;,0.81373904363
&#x2705;,0.71011960879
&#x1f479;,0.60585662473
&#x1f4f1;,0.60381233067
&#x1f64d;,0.24360833184
&#x1f351;,0.70728904940
&#x1f3bc;,0.59733608016
&#x1f50a;,0.72359561713
&#x1f30c;,0.80854497241
&#x1f34e;,0.69493588690
&#x1f43b;,0.77258026341
&#x2500;,0.54031128874
&#x2570;,0.54716990566
&#x1f487;,0.71414291373
&#x266c;,0.59042019962
&#x265a;,0.51604875385
&#x1f534;,0.61000227270
&#x1f371;,0.26114190929
&#x1f34a;,0.76188594846
&#x1f352;,0.69316055498
&#x1f42d;,0.84729769291
&#x1f45f;,0.75020828823
&#x1f30e;,0.68577943912
&#x1f34d;,0.80373662522
&#x1f42e;,0.81656624504
&#x1f4f2;,0.61203933461
&#x263c;,0.56724302938
&#x1f305;,0.72861690117
&#x1f1f7;,0.84953576355
&#x1f460;,0.72861690117
&#x1f33d;,0.77180634191
&#x1f4a7;,0.32978047262
&#x2753;,0.57730782625
&#x1f36c;,0.75870675967
&#x1f63a;,0.78004240750
&#x1f434;,0.58715001434
&#x1f680;,0.76070481392
&#xa6;,0.87186716378
&#x1f4a2;,0.60682754795
&#x1f3ac;,0.58898770983
&#x1f367;,0.73364703615
&#x1f35c;,0.78948013749
&#x1f40f;,0.80277177874
&#x1f418;,0.58653936965
&#x1f467;,0.62251402981
&#x2800;,0.56626179140
&#x1f3c4;,0.78339978387
&#x27a4;,0.58346593617
&#x2b06;,0.58411041850
&#x1f34b;,0.61221241019
&#x1f197;,0.84164564976
&#x26aa;,0.61891435994
&#x1f4fa;,0.70643930706
&#x1f345;,0.77012728481
&#x26c5;,0.77041634566
&#x1f422;,0.60345590848
&#x1f459;,0.78613807856
&#x1f3e1;,0.77748873851
&#x1f33e;,0.83511900871
&#x25c9;,0.57079901129
&#x270f;,0.61479165910
&#x1f42c;,0.72329842700
&#x1f364;,0.57501041594
&#x1f1f9;,0.78787714393
&#x2663;,0.70508885270
&#x1f41d;,0.60012117658
&#x1f31d;,0.59664529218
&#x1f1ee;,0.79805819482
&#x1f50b;,0.20255389144
&#x1f40d;,0.69516723598
&#x2654;,0.76499469334
&#x1f373;,0.55735634228
&#x1f535;,0.68326398310
&#x1f63e;,0.23999194724
&#x1f315;,0.82413230323
&#x1f428;,0.77442986354
&#x1f510;,0.73549256888
&#x1f4bf;,0.80814556219
&#x2741;,0.52189891550
&#x1f333;,0.76890181758
&#x1f470;,0.78572495516
&#x2740;,0.60749476731
&#x2693;,0.81927290443
&#x1f6b4;,0.83515145830
&#x2580;,0.58938575110
&#x1f457;,0.61200446420
&#x2795;,0.82696444761
&#x1f4ac;,0.73151606316
&#x2592;,0.52738840996
&#x1f51c;,0.68760130597
&#x1f368;,0.69108571375
&#x1f4b2;,0.56866085129
&#x26fd;,0.55515036265
&#x1f359;,0.69687115076
&#x1f357;,0.56738647861
&#x1f372;,0.61267347736
&#x1f365;,0.14812928511
&#x25b8;,0.56297866702
&#x265b;,0.59442986816
&#x1f63c;,0.74800554429
&#x1f419;,0.71269505754
&#x1f468;,0.79382605398
&#x1f35a;,0.81815906006
&#x1f356;,0.61368679563
&#x2668;,0.95092370474
&#x1f3b9;,0.59708018593
&#x2655;,0.60505504510
&#x2583;,0.96715762864
&#x1f698;,0.56512823888
&#x1f34f;,0.60670578710
&#x1f469;,0.58844313145
&#x1f466;,0.59711108330
&#x1f1ec;,0.59509501827
&#x1f1e7;,0.59509501827
&#x2620;,0.58859246582
&#x1f420;,0.77353781731
&#x1f6b9;,0.87547436664
&#x1f4b5;,0.73371390096
&#x2730;,0.91220959475
&#x2560;,0.56084663097
&#x1f45b;,0.74228392435
&#x1f699;,0.58227089400
&#x1f331;,0.78952148020
&#x1f4bb;,0.58218956746
&#x1f30f;,0.69763270858
&#x2584;,0.60171682506
&#x1f453;,0.58376231253
&#x25c4;,0.56540737726
&#x26be;,0.46795706006
&#x1f332;,0.72344951891
&#x1f474;,0.68463951365
&#x1f3e0;,0.77252110010
&#x1f347;,0.71127514643
&#x1f358;,0.78237165226
&#x1f35b;,0.55103613916
&#x1f407;,0.66202526809
&#x1f51e;,0.58864324565
&#x1f475;,0.80456885511
&#x25c0;,0.57758382563
&#x1f519;,0.58219222895
&#x1f335;,0.67535161106
&#x1f43d;,0.60816653826
&#x1f36e;,0.36143593539
&#x1f387;,0.87576588456
&#x1f40e;,0.73643180835
&#x2794;,0.54123105626
&#x1f4b6;,0.55656854249
&#x1f424;,0.78635642127
&#x2569;,0.56082762530
&#x1f6c0;,0.62971989053
&#x1f311;,0.77520356102
&#x1f6b2;,0.61636499688
&#x1f411;,0.57940757206
&#x1f3c1;,0.74926278804
&#x1f35e;,0.61072290865
&#x1f3be;,0.82343778382
&#x255a;,0.58390954952
&#x1f239;,0.59601887835
&#x1f433;,0.60252834974
&#x1f46e;,0.29181513624
&#x2639;,0.18518586833
&#x1f435;,0.76522631845
&#x272a;,0.58766163642
&#x25d5;,0.61998255081
&#x1f5fc;,0.79163676037
&#x2590;,0.55844762613
&#x2660;,0.58766163642
&#x2533;,0.29181513624
&#x1f47a;,0.35627456732
&#x1f41a;,0.58269106663
&#x1f442;,0.60724533789
&#x1f5fd;,0.60475029833
&#x1f375;,0.74762307546
&#x1f192;,0.60286702581
&#x1f36f;,0.57399788848
&#x1f43a;,0.59714422268
&#x21e8;,0.72148292824
&#x27a8;,0.57625000000
&#x1f313;,0.80707898007
&#x1f512;,0.66871851558
&#x256c;,0.59159967249
&#x1f473;,0.87347648855
&#x1f302;,0.60173802141
&#x1f68c;,0.59060146246
&#x2669;,0.76807030328
&#x1f361;,0.59301881530
&#x2765;,0.57250000000
&#x1f3a1;,0.59816631296
&#x1f48c;,0.81224989992
&#x1f429;,0.60077822185
&#x1f31c;,0.75495097568
&#x231a;,0.59519716382
&#x1f6bf;,0.84278273002
&#x1f416;,0.55153882032
&#x1f506;,0.78586491565
&#x1f31b;,0.78586491565
&#x1f482;,0.34437625503
&#x1f414;,0.60307764064
&#x1f64e;,0.40398567815
&#x1f3e9;,0.77064032867
&#x1f1eb;,0.73956040470
&#x1f528;,0.41000138890
&#x1f4e2;,0.61923846904
&#x1f426;,0.61923846904
&#x1f432;,0.54742691746
&#x267b;,0.73956040470
&#x1f318;,0.80481592806
&#x1f350;,0.66858955335
&#x1f314;,0.80481592806
&#x2565;,0.64405814798
&#x274a;,0.51873832970
&#x1f456;,0.61441618111
&#x1f6ba;,0.59313229837
&#x1f617;,0.85425652782
&#x1f3ad;,0.41675000000
&#x1f404;,0.68125724123
&#x25df;,0.55013107819
&#x1f362;,0.60005404789
&#x1f3a8;,0.57483523568
&#x2b07;,0.75589353255
&#x1f6bc;,0.79260158492
&#x26f2;,0.55013107819
&#x2581;,0.51979898987
&#x1f1f4;,0.59825254450
&#x1f317;,0.82497384510
&#x1f316;,0.82497384510
&#x1f505;,0.94339626746
&#x1f45c;,0.61200446420
&#x1f40c;,0.84682443325
&#x1f4bc;,0.81260148352
&#x1f695;,0.58308504679
&#x1f439;,0.72957011456
&#x1f320;,0.84058001997
&#x1f408;,0.58947415828
&#x21e7;,0.54640649200
&#x260e;,0.56222539674
&#x1f301;,0.57919911616
&#x26ab;,0.69039892332
&#x2667;,0.74182845159
&#x1f3f0;,0.60714126189
&#x1f6b5;,0.60405076886
&#x1f3a2;,0.77848294382
&#x1f3b7;,0.84682443325
&#x1f390;,0.56057330270
&#x2508;,0.12805284313
&#x2557;,0.60405076886
&#x2571;,0.52085965005
&#x1f307;,0.76355442986
&#x23f0;,0.79429789330
&#x21e9;,0.52227386361
&#x1f682;,0.57981932723
&#x25e0;,0.72252527946
&#x1f3bf;,0.72316963839
&#x2726;,0.53499464245
&#x1f194;,0.90407107976
&#x26ea;,0.59128013201
&#x1f312;,0.80090021186
&#x1f42a;,0.80090021186
&#x2554;,0.57981932723
&#x255d;,0.72252527946
&#x1f454;,0.73783752332
&#x1f531;,0.60670578710
&#x1f193;,0.56881951032
&#x1f40b;,0.61180339887
&#x25bd;,0.74427328446
&#x2582;,0.52368807717
&#x1f41b;,0.69388575889
&#x1f455;,0.74427328446
&#x1f68b;,0.53723069970
&#x1f4b3;,0.74427328446
&#x1f306;,0.59711108330
&#x1f3e7;,0.93187896163
&#x1f4a1;,0.82502990247
&#x1f539;,0.59711108330
&#x2b05;,0.74474476501
&#x1f360;,0.45000000000
&#x1f42b;,0.60139310874
&#x1f3ea;,0.58340001499
&#x6e9;,0.52368807717
&#x1f1f1;,0.61794543230
&#x1f4f9;,0.76699391379
&#x1f45e;,0.76699391379
&#x1f691;,0.61435826380
&#x1f198;,0.60623441062
&#x1f45a;,0.81143177423
&#x1f68d;,0.60623441062
&#x25a1;,0.27788980775
&#x1f402;,0.57993943020
&#x1f6a3;,0.81143177423
&#x2733;,0.52510229073
&#x1f3c9;,0.76885765286
&#x1f5fb;,0.81143177423
&#x1f400;,0.57993943020
&#x2566;,0.60870890028
&#x26fa;,0.79204826228
&#x1f415;,0.60366442254
&#x1f3c2;,0.74597357582
&#x1f461;,0.74597357582
&#x1f4fb;,0.69536616263
&#x2712;,0.60366442254
&#x1f330;,0.79520331976
&#x1f3e2;,0.56087384496
&#x1f392;,0.79204826228
&#x2312;,0.79520331976
&#x1f3eb;,0.28283013561
&#x1f4f4;,0.87621893559
&#x1f6a2;,0.71716986439
&#x1f69a;,0.56940686205
&#x1f409;,0.56087384496
&#x2752;,0.57936978329
&#x1f40a;,0.59625000000
&#x1f514;,0.92080421516
&#x25e2;,0.83896708911
&#x1f3e5;,0.61229926536
&#x2754;,0.41675000000
&#x1f696;,0.60410001201
&#x1f0cf;,0.60882899430
&#x25bc;,0.60410001201
&#x258c;,0.33990022642
&#x261b;,0.60629499047
&#x2729;,0.52934493142
&#x1f492;,0.77625972834
&#x1f6a4;,0.60629499047
&#x1f410;,0.72340476159
&#x25a0;,0.29271095060
&#x1f51a;,0.72044769788
&#x1f3bb;,0.60629499047
&#x1f537;,0.56585447973
&#x1f6a6;,0.60410001201
&#x1f513;,0.60882899430
&#x1f3bd;,0.72340476159
&#x1f4c5;,0.64462602636
&#x1f3ba;,0.86499614724
&#x272f;,0.52934493142
&#x1f348;,0.23999194724
&#x2709;,0.61229926536
&#x2563;,0.52934493142
&#x25e4;,0.91390752288
&#x25cb;,0.75279438285
&#x1f37c;,0.80128516392
&#x1f4c0;,0.58202629152
&#x1f69b;,0.57194181677
&#x1f4d3;,0.60174109298
&#x2609;,0.57194181677
&#x1f4b4;,0.60174109298
&#x253c;,0.59652007563
&#x1f403;,0.53217335854
&#x27b0;,0.37130656582
&#x1f50c;,0.42119168826
&#x1f344;,0.59652007563
&#x1f4d5;,0.60174109298
&#x1f4e3;,0.74762307546
&#x1f693;,0.59380065298
&#x1f417;,0.75279438285
&#x21aa;,0.55087054649
&#x26f3;,0.85775934649
&#x253b;,0.21368865286
&#x251b;,0.80723881184
&#x2503;,0.61600269393
&#x1f471;,0.59013878189
&#x23f3;,0.45000000000
&#x1f4ba;,0.61180339887
&#x1f3c7;,0.39102752641
&#x263b;,0.61180339887
&#x1f4de;,0.72360679775
&#x24b6;,0.59013878189
&#x1f309;,0.78613807856
&#x1f6a9;,0.35857864376
&#x270e;,0.78613807856
&#x1f4c3;,0.72360679775
&#x1f3e8;,0.57905694150
&#x1f4cc;,0.22161178186
&#x264e;,0.59013878189
&#x1f4b7;,0.72360679775
&#x1f684;,0.78613807856
&#x25b2;,0.78613807856
&#x26f5;,0.78613807856
&#x1f538;,0.57905694150
&#x231b;,0.60897247359
&#x1f69c;,0.89607448794
&#x1f406;,0.60307764064
&#x1f452;,0.61180339887
&#x2755;,0.61180339887
&#x1f51b;,0.77838821814
&#x2662;,0.60307764064
&#x1f1f2;,0.72360679775
&#x2745;,0.84278273002
&#x1f45d;,0.74876243688
&#x271e;,0.61441618111
&#x25e1;,0.58775320507
&#x1f38b;,0.81325897832
&#x1f465;,0.67329869446
&#x1f4f5;,0.60005404789
&#x1f421;,0.58775320507
&#x25c6;,0.82413230323
&#x1f3ef;,0.56205088638
&#x2602;,0.57848885271
&#x1f52d;,0.61441618111
&#x1f3aa;,0.58775320507
&#x1f41c;,0.75937075298
&#x264c;,0.82413230323
&#x2610;,0.11598087613
&#x1f477;,0.67329869446
&#x21b3;,0.53924442636
&#x1f508;,0.58775320507
&#x1f4c4;,0.88401912387
&#x1f4cd;,0.60005404789
&#x1f690;,0.82413230323
&#x1f694;,0.57848885271
&#x1f30b;,0.75937075298
&#x1f4e1;,0.67329869446
&#x23e9;,0.56205088638
&#x1f6b3;,0.88401912387
&#x2718;,0.82413230323
&#x6de;,0.53924442636
&#x263e;,0.53924442636
&#x1f170;,0.67329869446
&#x1f4e5;,0.53924442636
&#x1f1fc;,0.61441618111
&#x2513;,0.75937075298
&#x2523;,0.75937075298
&#x24c1;,0.61441618111
&#x24ba;,0.61441618111
&#x1f526;,0.54419417382
&#x1f464;,0.79973947021
&#x1f681;,0.56987712430
&#x1f3a0;,0.72316963839
&#x1f401;,0.59882117688
&#x1f4d7;,0.61267347736
&#x2510;,0.39635547530
&#x262e;,0.43750000000
&#x2642;,0.56987712430
&#x25de;,0.58838834765
&#x1f4ef;,0.56987712430
&#x1f529;,0.61267347736
&#x1f462;,0.79973947021
&#x25c2;,0.59882117688
&#x1f4f0;,0.70728904940
&#x1f4f6;,0.59882117688
&#x1f6a5;,0.58838834765
&#x1f304;,0.56987712430
&#x1f5fe;,0.59882117688
&#x1f536;,0.59882117688
&#x1f3e4;,0.59882117688
&#x1f3a9;,0.59882117688
&#x24c2;,0.70728904940
&#x1f527;,0.21529895065
&#x1f405;,0.56987712430
&#x266e;,0.56987712430
&#x1f17e;,0.39635547530
&#x1f504;,0.54419417382
&#x2604;,0.54419417382
&#x2628;,0.54419417382